team,fielders_used,defensive_efficiency,errors,fielding_percentage,Rtot,year
DET,34,.704,133,.979,-20,1980
HOU,32,.703,140,.978,-6,1980
KCR,36,.707,141,.978,22,1980
LAD,33,.715,123,.981,22,1980
MIL,32,.702,147,.977,25,1980
MIN,36,.692,148,.977,37,1980
MON,37,.698,144,.977,-8,1980
NYM,40,.692,154,.975,-30,1980
NYY,39,.699,138,.978,-14,1980
OAK,31,.727,130,.979,99,1980
PHI,39,.701,136,.979,4,1980
PIT,35,.701,137,.978,27,1980
SDP,36,.699,132,.980,5,1980
SEA,33,.693,149,.977,-11,1980
SFG,38,.694,159,.975,-36,1980
STL,41,.703,122,.981,24,1980
TEX,40,.676,147,.977,-88,1980
TOR,37,.697,133,.979,14,1980
ATL,39,.707,102,.976,-3,1981
BAL,34,.710,68,.983,-4,1981
BOS,32,.703,91,.979,5,1981
CAL,37,.710,101,.977,-2,1981
CHC,38,.686,113,.974,-66,1981
CHW,33,.709,87,.979,-4,1981
CIN,31,.717,80,.981,-2,1981
CLE,33,.679,87,.978,-56,1981
DET,34,.740,67,.984,62,1981
HOU,37,.721,87,.980,17,1981
KCR,35,.716,72,.982,6,1981
LAD,37,.711,87,.980,-5,1981
MIL,32,.705,79,.982,3,1981
MIN,37,.693,96,.978,-19,1981
MON,43,.715,81,.980,29,1981
NYM,38,.699,130,.968,-26,1981
NYY,38,.721,72,.982,21,1981
OAK,39,.732,81,.980,57,1981
PHI,36,.692,86,.980,-31,1981
PIT,36,.696,86,.979,-27,1981
SDP,33,.695,102,.977,-22,1981
SEA,37,.695,91,.979,-16,1981
SFG,35,.701,102,.977,-22,1981
STL,34,.715,82,.981,31,1981
TEX,36,.725,69,.984,37,1981
TOR,35,.713,105,.975,5,1981
ATL,37,.695,137,.979,-32,1982
BAL,32,.719,101,.984,42,1982
BOS,33,.690,121,.981,1,1982
CAL,36,.712,108,.983,50,1982
CHC,37,.695,132,.979,-29,1982
CHW,37,.688,154,.976,-44,1982
CIN,33,.692,128,.980,-55,1982
CLE,36,.704,123,.980,-21,1982
DET,38,.725,117,.981,77,1982
HOU,37,.705,136,.978,-13,1982
KCR,39,.716,127,.979,36,1982
LAD,36,.709,139,.979,2,1982
MIL,32,.703,125,.980,16,1982
MIN,39,.707,108,.982,55,1982
MON,39,.708,122,.980,3,1982
NYM,39,.688,175,.972,-69,1982
NYY,45,.690,128,.979,-71,1982
OAK,41,.706,160,.974,4,1982
PHI,36,.693,121,.981,-12,1982
PIT,43,.697,145,.977,-2,1982
SDP,38,.725,152,.976,55,1982
SEA,39,.701,139,.978,4,1982
SFG,37,.688,173,.973,-70,1982
STL,33,.710,124,.981,53,1982
TEX,39,.690,121,.981,-32,1982
TOR,34,.709,136,.978,23,1982
ATL,40,.698,137,.978,-16,1983
BAL,36,.705,121,.981,6,1983
BOS,31,.689,130,.979,-12,1983
CAL,39,.683,154,.977,-46,1983
CHC,42,.690,115,.982,-25,1983
CHW,39,.712,120,.981,44,1983
CIN,35,.708,114,.981,22,1983
CLE,39,.687,122,.980,-50,1983
DET,37,.726,125,.980,80,1983
HOU,33,.718,147,.977,34,1983
KCR,37,.697,165,.974,-25,1983
LAD,40,.702,168,.974,-22,1983
MIL,36,.703,113,.982,-14,1983
MIN,35,.691,121,.980,14,1983
MON,39,.706,116,.981,40,1983
NYM,39,.708,151,.976,5,1983
NYY,39,.696,139,.978,-39,1983
OAK,42,.704,157,.974,6,1983
PHI,43,.685,152,.976,-59,1983
PIT,37,.697,115,.982,-12,1983
SDP,41,.714,129,.979,27,1983
SEA,40,.687,136,.978,-32,1983
SFG,40,.696,171,.973,-35,1983
STL,42,.699,152,.976,4,1983
TEX,37,.709,113,.982,45,1983
TOR,33,.706,115,.981,43,1983
ATL,37,.703,139,.978,2,1984
BAL,35,.715,123,.981,59,1984
BOS,33,.684,143,.977,-25,1984
CAL,36,.697,128,.980,3,1984
CHC,40,.690,121,.981,-18,1984
CHW,38,.710,122,.981,11,1984
CIN,43,.697,139,.977,-52,1984
CLE,40,.694,146,.977,-7,1984
DET,35,.713,127,.979,52,1984
HOU,35,.702,133,.979,-20,1984
KCR,35,.711,131,.979,62,1984
LAD,37,.688,163,.975,-26,1984
MIL,36,.689,136,.978,-35,1984
MIN,37,.714,120,.980,106,1984
MON,43,.710,132,.978,40,1984
NYM,40,.694,129,.979,-22,1984
NYY,41,.684,142,.977,-39,1984
OAK,37,.692,146,.975,-24,1984
PHI,39,.698,161,.975,-15,1984
PIT,36,.705,128,.980,28,1984
SDP,31,.721,138,.978,32,1984
SEA,40,.683,128,.979,-45,1984
SFG,39,.676,173,.973,-108,1984
STL,41,.698,118,.982,14,1984
TEX,34,.701,138,.977,-25,1984
TOR,33,.705,123,.980,29,1984
ATL,33,.691,159,.976,-28,1985
BAL,37,.698,129,.979,-17,1985
BOS,36,.690,145,.977,-7,1985
CAL,41,.710,112,.982,38,1985
CHC,40,.697,134,.979,-24,1985
CHW,40,.702,111,.982,1,1985
CIN,37,.713,122,.980,14,1985
CLE,37,.692,141,.977,-48,1985
DET,36,.717,143,.977,37,1985
HOU,38,.701,152,.976,-29,1985
KCR,33,.701,127,.980,-4,1985
LAD,40,.713,166,.974,12,1985
MIL,39,.698,142,.977,-33,1985
MIN,36,.703,120,.980,39,1985
MON,44,.712,121,.981,7,1985
NYM,38,.716,115,.982,2,1985
NYY,38,.709,126,.979,27,1985
OAK,36,.711,140,.977,-6,1985
PHI,37,.696,139,.978,-41,1985
PIT,43,.695,133,.979,-31,1985
SDP,32,.714,124,.980,13,1985
SEA,40,.698,122,.980,-26,1985
SFG,35,.705,148,.976,-43,1985
STL,37,.718,108,.983,50,1985
TEX,42,.695,120,.980,-16,1985
TOR,38,.724,125,.980,71,1985
ATL,36,.684,141,.978,-48,1986
BAL,41,.696,135,.978,-9,1986
BOS,38,.686,129,.979,-2,1986
CAL,38,.715,107,.983,68,1986
CHC,39,.678,124,.980,-63,1986
CHW,46,.712,117,.981,64,1986
CIN,33,.695,140,.978,-24,1986
CLE,35,.695,157,.975,-44,1986
DET,40,.719,108,.982,58,1986
HOU,40,.721,130,.979,29,1986
KCR,34,.700,123,.980,11,1986
LAD,38,.683,181,.971,-69,1986
MIL,39,.687,146,.976,-55,1986
MIN,37,.682,118,.980,-24,1986
MON,43,.703,133,.979,-18,1986
NYM,36,.709,138,.978,8,1986
NYY,43,.703,127,.979,-4,1986
OAK,44,.716,135,.978,37,1986
PHI,42,.693,137,.978,-21,1986
PIT,39,.703,143,.978,29,1986
SDP,39,.702,137,.978,-35,1986
SEA,39,.670,156,.975,-89,1986
SFG,39,.717,143,.977,64,1986
STL,38,.720,123,.981,94,1986
TEX,37,.702,122,.980,-1,1986
TOR,36,.700,100,.984,12,1986
ATL,38,.690,116,.982,-41,1987
BAL,41,.696,111,.982,-9,1987
BOS,33,.674,110,.982,-13,1987
CAL,37,.704,117,.981,38,1987
CHC,36,.677,130,.979,-78,1987
CHW,36,.714,116,.981,98,1987
CIN,37,.696,130,.979,-10,1987
CLE,43,.690,153,.975,-48,1987
DET,37,.705,122,.980,9,1987
HOU,43,.697,116,.981,-25,1987
KCR,35,.693,131,.979,-11,1987
LAD,48,.687,155,.975,-48,1987
MIL,35,.679,145,.976,-43,1987
MIN,35,.700,98,.984,13,1987
MON,41,.695,147,.976,-19,1987
NYM,37,.696,137,.978,-22,1987
NYY,47,.703,102,.983,21,1987
OAK,45,.695,142,.977,-18,1987
PHI,38,.704,121,.980,13,1987
PIT,48,.711,123,.980,66,1987
SDP,39,.706,147,.976,34,1987
SEA,40,.694,122,.980,-11,1987
SFG,46,.698,129,.980,14,1987
STL,39,.696,116,.982,11,1987
TEX,39,.699,151,.976,-28,1987
TOR,37,.712,111,.982,50,1987
ATL,40,.692,151,.976,-61,1988
BAL,43,.697,119,.980,-19,1988
BOS,36,.693,93,.984,5,1988
CAL,43,.693,135,.979,-25,1988
CHC,39,.693,125,.980,-32,1988
CHW,43,.698,154,.976,6,1988
CIN,45,.723,125,.980,59,1988
CLE,42,.692,124,.980,-44,1988
DET,37,.718,109,.982,34,1988
HOU,39,.709,138,.978,-35,1988
KCR,41,.695,124,.980,-18,1988
LAD,38,.708,142,.977,12,1988
MIL,35,.716,120,.981,26,1988
MIN,40,.699,84,.986,12,1988
MON,40,.720,142,.978,40,1988
NYM,32,.707,115,.981,-34,1988
NYY,40,.695,134,.978,-30,1988
OAK,34,.710,105,.983,15,1988
PHI,43,.693,145,.976,-56,1988
PIT,42,.715,125,.980,29,1988
SDP,34,.714,120,.981,30,1988
SEA,40,.698,123,.980,-13,1988
SFG,42,.717,129,.980,14,1988
STL,41,.707,121,.981,-2,1988
TEX,40,.715,131,.979,31,1988
TOR,35,.706,110,.982,27,1988
ATL,46,.701,152,.976,18,1989
BAL,38,.705,87,.986,20,1989
BOS,34,.688,127,.980,2,1989
CAL,36,.708,96,.985,48,1989
CHC,36,.708,124,.980,-3,1989
CHW,41,.695,151,.975,-31,1989
CIN,41,.704,121,.980,-44,1989
CLE,46,.704,118,.981,-1,1989
DET,46,.690,130,.979,-22,1989
HOU,37,.706,142,.977,25,1989
KCR,36,.692,114,.982,-38,1989
LAD,40,.711,118,.981,9,1989
MIL,39,.693,155,.975,-38,1989
MIN,43,.694,107,.982,-22,1989
MON,38,.704,136,.979,-28,1989
NYM,42,.713,144,.976,28,1989
NYY,49,.683,122,.980,21,1989
OAK,40,.715,129,.979,19,1989
PHI,47,.699,133,.979,-79,1989
PIT,45,.713,160,.975,30,1989
SDP,40,.707,154,.976,-79,1989
SEA,39,.693,143,.977,6,1989
SFG,45,.725,114,.982,39,1989
STL,33,.717,112,.982,79,1989
TEX,40,.705,136,.978,-1,1989
TOR,42,.704,127,.980,7,1989
ATL,46,.676,158,.974,-58,1990
BAL,46,.711,93,.985,39,1990
BOS,40,.685,123,.980,-34,1990
CAL,42,.681,142,.978,-44,1990
CHC,39,.689,124,.980,-76,1990
CHW,36,.712,124,.980,66,1990
CIN,39,.709,102,.983,-17,1990
CLE,44,.695,117,.981,16,1990
DET,43,.705,131,.979,-9,1990
HOU,43,.708,131,.978,-39,1990
KCR,46,.683,122,.980,-53,1990
LAD,46,.703,130,.979,-19,1990
MIL,43,.685,149,.976,-28,1990
MIN,39,.689,101,.983,-1,1990
MON,42,.713,110,.982,-20,1990
NYM,44,.690,132,.978,-36,1990
NYY,42,.699,126,.980,38,1990
OAK,39,.732,87,.986,107,1990
PHI,43,.711,117,.981,27,1990
PIT,46,.713,134,.979,18,1990
SDP,36,.700,141,.977,-47,1990
SEA,43,.704,130,.979,50,1990
SFG,51,.702,107,.983,-30,1990
STL,43,.699,130,.979,35,1990
TEX,40,.701,133,.979,22,1990
TOR,40,.707,86,.986,28,1990
ATL,43,.714,138,.978,-98,1991
BAL,41,.692,91,.985,39,1991
BOS,37,.699,116,.981,35,1991
CAL,41,.708,102,.984,-28,1991
CHC,39,.703,113,.982,5,1991
CHW,37,.728,116,.982,64,1991
CIN,40,.701,125,.979,-9,1991
CLE,52,.678,149,.976,-13,1991
DET,41,.693,104,.983,52,1991
HOU,44,.701,161,.974,8,1991
KCR,45,.688,125,.980,-30,1991
LAD,38,.708,123,.980,-26,1991
MIL,39,.698,118,.981,-30,1991
MIN,35,.710,95,.985,35,1991
MON,38,.713,133,.979,11,1991
NYM,40,.689,143,.977,-64,1991
NYY,40,.684,133,.979,-39,1991
OAK,46,.706,107,.982,18,1991
PHI,42,.710,119,.981,-16,1991
PIT,41,.701,120,.981,-13,1991
SDP,47,.711,113,.982,64,1991
SEA,38,.703,110,.983,-29,1991
SFG,41,.707,109,.982,15,1991
STL,36,.711,107,.982,26,1991
TEX,48,.692,134,.979,-36,1991
TOR,44,.718,127,.980,29,1991
ATL,41,.713,109,.982,39,1992
BAL,35,.710,93,.985,14,1992
BOS,37,.695,139,.978,-20,1992
CAL,41,.693,134,.979,12,1992
CHC,41,.716,114,.982,2,1992
CHW,35,.711,129,.979,39,1992
CIN,42,.700,96,.984,-28,1992
CLE,42,.693,141,.978,18,1992
DET,34,.698,116,.981,25,1992
HOU,37,.704,114,.981,8,1992
KCR,42,.701,122,.980,-16,1992
LAD,36,.685,174,.972,-96,1992
MIL,35,.725,89,.986,12,1992
MIN,39,.706,95,.985,35,1992
MON,45,.713,124,.980,-2,1992
NYM,44,.692,116,.981,-50,1992
NYY,40,.699,114,.982,-16,1992
OAK,44,.707,125,.979,12,1992
PHI,48,.704,131,.978,-24,1992
PIT,43,.711,101,.984,0,1992
SDP,38,.694,115,.982,41,1992
SEA,48,.694,112,.982,-46,1992
SFG,40,.707,113,.982,8,1992
STL,39,.716,94,.985,-1,1992
TEX,51,.680,154,.975,-48,1992
TOR,39,.712,93,.985,32,1992
ATL,33,.711,108,.983,82,1993
BAL,39,.704,100,.984,73,1993
BOS,38,.702,122,.980,71,1993
CAL,46,.695,120,.980,-40,1993
CHC,38,.690,115,.982,46,1993
CHW,40,.700,112,.982,61,1993
CIN,51,.684,121,.980,-52,1993
CLE,47,.679,148,.976,2,1993
COL,46,.664,167,.973,-23,1993
DET,40,.693,132,.979,-32,1993
FLA,43,.696,125,.980,-23,1993
HOU,36,.697,126,.979,34,1993
KCR,42,.700,97,.984,27,1993
LAD,35,.693,133,.979,-97,1993
MIL,40,.696,131,.979,25,1993
MIN,41,.679,100,.984,-43,1993
MON,48,.703,159,.975,-22,1993
NYM,41,.690,156,.975,-20,1993
NYY,41,.700,105,.983,40,1993
OAK,43,.689,111,.982,-43,1993
PHI,40,.693,141,.977,-49,1993
PIT,47,.689,105,.983,-15,1993
SDP,46,.688,160,.974,-130,1993
SEA,48,.693,90,.985,47,1993
SFG,41,.711,101,.984,37,1993
STL,39,.689,159,.975,-16,1993
TEX,42,.688,132,.979,6,1993
TOR,38,.692,107,.982,10,1993
ATL,31,.697,81,.982,25,1994
BAL,31,.706,57,.986,56,1994
BOS,42,.678,81,.981,12,1994
CAL,37,.679,76,.983,7,1994
CHC,35,.689,81,.982,11,1994
CHW,34,.705,79,.981,13,1994
CIN,35,.691,73,.983,-2,1994
CLE,39,.676,90,.980,-5,1994
COL,36,.664,84,.981,-32,1994
DET,36,.693,82,.981,-38,1994
FLA,42,.688,95,.978,24,1994
HOU,33,.688,76,.983,26,1994
KCR,31,.695,80,.982,-10,1994
LAD,35,.681,88,.980,-70,1994
MIL,36,.701,85,.981,33,1994
MIN,33,.673,75,.982,9,1994
MON,32,.699,94,.979,23,1994
NYM,37,.692,89,.980,-19,1994
NYY,36,.695,80,.982,-2,1994
OAK,43,.700,88,.979,28,1994
PHI,40,.693,94,.978,-34,1994
PIT,39,.678,91,.980,25,1994
SDP,40,.686,111,.975,-96,1994
SEA,44,.669,95,.977,9,1994
SFG,36,.707,68,.985,35,1994
STL,37,.677,80,.982,35,1994
TEX,40,.673,106,.976,-44,1994
TOR,34,.681,81,.981,-30,1994
ATL,40,.696,100,.982,19,1995
BAL,45,.716,72,.986,44,1995
BOS,53,.682,120,.978,79,1995
CAL,43,.696,95,.982,17,1995
CHC,43,.695,115,.979,16,1995
CHW,46,.683,108,.980,-19,1995
CIN,47,.699,79,.986,27,1995
CLE,40,.699,101,.982,-7,1995
COL,41,.671,107,.981,-33,1995
DET,45,.672,106,.981,-50,1995
FLA,46,.683,115,.979,6,1995
HOU,43,.673,121,.979,-47,1995
KCR,51,.699,90,.984,46,1995
LAD,49,.697,130,.976,-24,1995
MIL,40,.688,105,.981,3,1995
MIN,44,.684,100,.981,4,1995
MON,45,.689,109,.980,-12,1995
NYM,44,.692,115,.979,-22,1995
NYY,42,.702,74,.986,9,1995
OAK,44,.688,102,.981,-36,1995
PHI,49,.697,97,.982,5,1995
PIT,40,.669,122,.978,-40,1995
SDP,40,.690,108,.980,-85,1995
SEA,46,.676,104,.980,10,1995
SFG,46,.694,108,.980,78,1995
STL,46,.690,113,.980,40,1995
TEX,45,.683,98,.982,24,1995
TOR,38,.689,97,.982,-59,1995
ATL,42,.689,130,.980,38,1996
BAL,44,.681,97,.984,-30,1996
BOS,54,.665,135,.978,-77,1996
CAL,51,.683,128,.979,-6,1996
CHC,41,.702,104,.983,91,1996
CHW,43,.687,109,.982,-16,1996
CIN,48,.690,121,.980,-40,1996
CLE,44,.682,124,.980,-13,1996
COL,44,.674,149,.976,-5,1996
DET,53,.668,137,.978,-77,1996
FLA,46,.692,111,.982,48,1996
HOU,43,.667,138,.978,8,1996
KCR,40,.685,111,.982,6,1996
LAD,38,.690,125,.980,-33,1996
MIL,48,.692,134,.978,8,1996
MIN,38,.694,94,.984,34,1996
MON,37,.696,126,.980,1,1996
NYM,40,.678,159,.974,80,1996
NYY,47,.682,91,.985,-45,1996
OAK,43,.682,103,.984,-53,1996
PHI,54,.686,116,.981,2,1996
PIT,46,.673,128,.980,-45,1996
SDP,41,.698,118,.981,-27,1996
SEA,48,.683,110,.982,50,1996
SFG,49,.686,136,.978,26,1996
STL,38,.706,125,.980,78,1996
